subLink,word,type,level
180,scoreboard,scoreboard,noun,b2
181,scrabbletm,Scrabble™,noun,c2
182,see-saw_2,see-saw,noun,c2
183,shoot-em-up,shoot-’em-up,adjective,c2
184,shuffle_2,shuffle,noun,c2
185,sim,sim,noun,c2
186,simon-says,Simon says,noun,c2
187,skateboard_2,skateboard,noun,b1
188,skipping-rope,skipping rope,noun,c2
189,skittle,skittle,noun,c2
190,slide_2,slide,noun,c1
191,snakes-and-ladders,snakes and ladders,noun,c2
192,snap_2,snap,noun,c2
193,snooker_1,snooker,noun,c2
194,soft-play,soft play,noun,c2
195,soft-toy,soft toy,noun,c2
196,solitaire,solitaire,noun,c2
197,square_1,square,adjective,c2
198,stalemate,stalemate,noun,c2
199,stuffed-animal,stuffed animal,noun,c2
200,suit_1,suit,noun,c2
201,swing_2,swing,noun,c1
202,table-football,table football,noun,c2
203,table-tennis,table tennis,noun,a2
204,tag_1,tag,noun,c2
205,team_1,team,noun,a1
206,team-handball,team handball,noun,c2
207,teddy-bear,teddy bear,noun,c1
208,teeter-totter,teeter-totter,noun,c2
209,tenpin-bowling,tenpin bowling,noun,c2
210,three-card-trick,three-card trick,noun,c2
211,tic-tac-toe,tic-tac-toe,noun,c2
212,tiddlywinks,tiddlywinks,noun,c2
213,tie_1,tie,verb,c2
214,tie_2,tie,noun,c2
215,tig,tig,noun,c2
216,toboggan_1,toboggan,noun,c2
217,tombola,tombola,noun,c2
218,toy_1,toy,noun,a2
219,trampoline_1,trampoline,noun,c2
220,treasure-hunt,treasure hunt,noun,c1
221,trump_1,trump,noun,c2
222,turn_2,turn,noun,a1
223,video-game,video game,noun,a1
224,war-game,war game,noun,c1
225,whist,whist,noun,c2
226,win_1,win,verb,a1
227,winner,winner,noun,a2
228,winning,winning,adjective,b1
229,world,world,noun,b2
230,yo-yo_3,yo-yo,noun,c2
231,activity,activity,noun,a1
232,amateur-dramatics,amateur dramatics,noun,c2
233,angler,angler,noun,c2
234,angling,angling,noun,c2
235,art_1,art,noun,a1
236,astrology,astrology,noun,c2
237,ballroom-dancing,ballroom dancing,noun,c1
238,basketry,basketry,noun,c2
239,basketwork,basketwork,noun,c2
240,birder,birder,noun,c2
241,birding,birding,noun,c2
242,birdwatcher,birdwatcher,noun,c1
243,birdwatching,birdwatching,noun,c1
244,bonsai,bonsai,noun,c2
245,brass-rubbing,brass rubbing,noun,c2
246,bricolage,bricolage,noun,c2
247,bullfight,bullfight,noun,c1
248,calligraphy,calligraphy,noun,c2
249,cartography,cartography,noun,c2
250,ceramic_1,ceramic,noun,c2
251,climb_1,climb,verb,a2
252,climbing,climbing,noun,a2
253,clubbing,clubbing,noun,b2
254,collage,collage,noun,c2
255,collector,collector,noun,b2
256,community-theater,community theater,noun,c2
257,compass,compass,noun,b2
258,cookery,cookery,noun,b1
259,cooking_1,cooking,noun,a1
260,cosplay_1,cosplay,noun,c2
261,cosplay_2,cosplay,verb,c2
262,cosplayer,cosplayer,noun,c2
263,craft_1,craft,noun,b2
264,craft_2,craft,verb,c1
265,crochet_1,crochet,noun,c2
266,cryptography,cryptography,noun,c2
267,dance_1,dance,noun,a1
268,dance_2,dance,verb,a1
269,dancer,dancer,noun,a1
270,dancing,dancing,noun,a1
271,dive_1,dive,verb,b2
272,drama,drama,noun,a2
273,drawing,drawing,noun,a2
274,embroider,embroider,verb,c2
275,embroidery,embroidery,noun,c2
276,engraving,engraving,noun,c2
277,explore,explore,verb,b1
278,fieldcraft,fieldcraft,noun,c2
279,fish_2,fish,verb,a2
280,fisherman,fisherman,noun,b2
281,fishing,fishing,noun,a2
282,fishing-rod,fishing rod,noun,c1
