subLink,word,type,level
190,forkball,forkball,noun,c2
191,forward_4,forward,noun,c2
192,foul_2,foul,verb,c1
193,foul_3,foul,noun,c1
194,foul-ball,foul ball,noun,c2
195,foul-line,foul line,noun,c2
196,foul-trouble,foul trouble,noun,c2
197,four,four,noun,c2
198,free-kick,free kick,noun,b2
199,free-safety,free safety,noun,c2
200,friendly_1,friendly,adjective,b1
201,friendly_2,friendly,noun,c2
202,full-back,full back,noun,c2
203,full-court-press,full-court press,noun,c2
204,full-toss,full toss,noun,c2
205,fumble_1,fumble,verb,c2
206,fumble_2,fumble,noun,c2
207,futsal,futsal,noun,c2
208,game_1,game,noun,a2
209,game-point,game point,noun,c2
210,onside_1,get/keep somebody onside,idiom,c2
211,goal,goal,noun,a2
212,goal-area,goal area,noun,b2
213,goal-difference,goal difference,noun,c2
214,goalkeeper,goalkeeper,noun,b1
215,goalkeeping,goalkeeping,noun,b2
216,goal-kick,goal kick,noun,b2
217,goal-line,goal line,noun,c1
218,goalpost,goalpost,noun,b2
219,goalscorer,goalscorer,noun,c1
220,goaltender,goaltender,noun,c2
221,goat_2,GOAT,noun,c2
222,golden-goal,golden goal,noun,c2
223,golf,golf,noun,a2
224,golf-cart,golf cart,noun,b2
225,golf-club,golf club,noun,c1
226,golf-course,golf course,noun,b2
227,golfer,golfer,noun,b1
228,golf-links,golf links,noun,c2
229,googly,googly,noun,c2
230,go-out,go out,phrasal verb,b2
231,grand-slam,grand slam,noun,c2
232,grass-court,grass court,noun,b2
233,green_2,green,noun,c2
234,gridiron,gridiron,noun,c2
235,grip_1,grip,noun,c1
236,ground-ball,ground ball,noun,c2
237,grounder,grounder,noun,c2
238,groundout,groundout,noun,c2
239,groundstroke,groundstroke,noun,c2
240,grubber,grubber,noun,c2
241,guard_1,guard,noun,c2
242,half_1,half,noun,a1
243,half-back,half back,noun,c2
244,half-century,half-century,noun,c2
245,half-time,half-time,noun,b1
246,half-volley,half-volley,noun,c2
247,handball,handball,noun,c2
248,handicap_1,handicap,noun,c2
249,handoff,handoff,noun,c2
250,hardball,hardball,noun,c2
251,hard-court,hard court,noun,c1
252,hat-trick,hat-trick,noun,c2
253,head_3,head,verb,c2
254,header,header,noun,c1
255,helmet,helmet,noun,b2
256,high-top,high-top,adjective,c2
257,high-tops,high-tops,noun,c2
258,hockey,hockey,noun,a2
259,hole_1,hole,noun,b1
260,hole-in-one,hole-in-one,noun,c2
261,home_3,home,adjective,b2
262,home-plate,home plate,noun,c2
263,homer,homer,noun,c2
264,home-run,home run,noun,c2
265,hook_1,hook,noun,c2
266,hooker,hooker,noun,c2
267,hook-shot,hook shot,noun,c2
268,hoop,hoop,noun,c1
269,howzat,howzat,exclamation,c2
270,huddle_2,huddle,noun,c2
271,hurling,hurling,noun,c2
272,in_2,in,adverb,c2
273,inbounds,inbounds,adjective,c2
274,infield_1,infield,noun,c2
275,in-goal-area,in-goal area,noun,c2
276,injury-time,injury time,noun,b2
277,inning,inning,noun,c2
278,innings,innings,noun,c2
279,iron_1,iron,noun,c2
280,jai-alai,jai alai,noun,c2
281,keeper,keeper,noun,c1
282,wicket,keep wicket,idiom,c2
283,kick_1,kick,verb,a2
284,kickball,kickball,noun,c2
285,kicker,kicker,noun,c2
286,kick-off_1,kick off,phrasal verb,c2
287,knock-down_1,knock-down,noun,c2
288,knockout_1,knockout,noun,c2
289,lacrosse,lacrosse,noun,c2
290,lawn-tennis,lawn tennis,noun,c2
291,lay-up_2,lay-up,noun,c2
292,lbw,lbw,abbreviation,c2
293,league,league,noun,b2
294,league-table,league table,noun,c1
295,left-field_1,left field,noun,c2
296,leg-bye,leg bye,noun,c2
297,line_1,line,noun,a1
298,linebacker,linebacker,noun,c2
299,line-drive,line drive,noun,c2
300,lineman,lineman,noun,c2
301,line-of-scrimmage,line of scrimmage,noun,c2
302,line-out,line-out,noun,c2
303,linesman,linesman,noun,c2
304,links,links,noun,c2
305,little-league,Little League,noun,c2
306,lob_2,lob,verb,c2
307,lock_2,lock,noun,c2
308,long-ball,long ball,noun,c2
309,loose-forward,loose forward,noun,c2
310,loose-head,loose head,noun,c2
311,love_1,love,noun,c2
312,magic-number,magic number,noun,c2
313,maiden_1,maiden,noun,c2
314,major-league_1,major league,noun,c2
315,cut_2,make the cut,idiom,c2
316,march-madnesstm,March Madness™,noun,c2
317,marker,marker,noun,c2
318,marking,marking,noun,c2
319,match_1,match,noun,a1
320,match-play,match play,noun,c2
321,match-point,match point,noun,c1
322,matchup,matchup,noun,c2
323,medal-play,medal play,noun,c2
324,mexican-wave,Mexican wave,noun,c1
325,midfield,midfield,noun,c1
326,miniature-golf,miniature golf,noun,c2
327,minigolf,minigolf,noun,c2
328,minor-league_1,minor league,noun,c2
329,mixed-doubles,mixed doubles,noun,c2
330,nba,NBA,abbreviation,c2
331,net_1,net,noun,a2
332,netball,netball,noun,c1
333,neutral-zone,neutral zone,noun,c2
334,nfc,NFC,abbreviation,c2
335,nfl,NFL,abbreviation,c2
336,nil_1,nil,noun,c1
337,no-ball,no-ball,noun,c2
338,no-hitter,no-hitter,noun,c2
339,nose-tackle,nose tackle,noun,c2
340,no-side,no side,noun,c2
341,offense,offense,noun,c1
342,offensive-line,offensive line,noun,c2
343,offside_1,offside,adjective,c2
344,offside_2,offside,noun,c2
345,off-tackle,off-tackle,adjective,c2
346,onside_1,onside,adjective,c2
347,onside_2,onside,adverb,c2
348,opener,opener,noun,c2
349,out_1,out,adverb,c2
350,outfield_1,outfield,noun,c2
351,outfielder,outfielder,noun,c2
352,over_3,over,noun,c2
353,own-goal,own goal,noun,b2
354,pace-bowler,pace bowler,noun,c2
355,pad_1,pad,noun,b2
356,par_1,par,noun,c2
357,park_1,park,noun,a2
358,pass_1,pass,verb,b1
359,pass_2,pass,noun,c1
360,passing-shot,passing shot,noun,c2
361,pass-play,pass play,noun,c2
362,penalty,penalty,noun,c1
363,penalty-area,penalty area,noun,c1
364,penalty-kick,penalty kick,noun,c1
365,penalty-shoot-out,penalty shoot-out,noun,c1
366,penalty-spot,penalty spot,noun,c2
367,pennant,pennant,noun,c2
368,pinch-hit,pinch-hit,verb,c2
369,ping-pong,ping-pong,noun,b2
370,pitch_1,pitch,noun,b2
371,pitch_2,pitch,verb,c2
372,pitch-and-putt,pitch and putt,noun,c2
373,pitcher,pitcher,noun,c2
374,pitchout,pitchout,noun,c2
375,place-kick,place kick,noun,c2
376,play_1,play,verb,a1
377,play_2,play,noun,b1
378,player,player,noun,a1
379,playing-field,playing field,noun,b2
380,point_1,point,noun,a2
381,pool_1,pool,noun,c2
382,pop-fly,pop fly,noun,c2
383,premiership,premiership,noun,c2
384,preseason_1,preseason,adjective,c1
385,preseason_2,preseason,noun,c1
386,prop_1,prop,noun,c2
387,pro-shop,pro shop,noun,c2
388,pulling-guard,pulling guard,noun,c2
389,punt_1,punt,noun,c2
390,put-in_2,put-in,noun,c2
391,putt_2,putt,verb,c2
392,putter_2,putter,noun,c2
393,putting-green,putting green,noun,c2
394,qualification,qualification,noun,b1
395,qualify,qualify,verb,b1
396,quarter_1,quarter,noun,c2
397,quarterback_1,quarterback,noun,c2
398,quarter-final,quarter-final,noun,c2
399,quarter-finalist,quarter-finalist,noun,c2
400,racket,racket,noun,b1
401,racket-abuse,racket abuse,noun,c2
402,racquet,racquet,noun,b2
403,rally_1,rally,noun,c2
404,rbi,RBI,noun,c2
405,real-tennis,real tennis,noun,c2
406,rebound_2,rebound,noun,c2
407,receive,receive,verb,c2
408,receiver,receiver,noun,c2
409,red-card,red card,noun,c1
410,red-zone,red zone,noun,c2
411,ref_1,ref,noun,c2
412,referee_1,referee,noun,b2
413,referee-s-assistant,referee’s assistant,noun,b2
414,relegate,relegate,verb,c2
415,reliever,reliever,noun,c2
416,replay_1,replay,noun,b2
417,reserve_1,reserve,noun,c2
418,result_1,result,noun,a1
419,return_1,return,verb,c2
420,right-field,right field,noun,c2
421,right-fielder,right fielder,noun,c2
422,rough_2,rough,noun,c2
423,rounders,rounders,noun,c2
424,royal-tennis,royal tennis,noun,c2
425,ruck_1,ruck,noun,c2
426,rugby,rugby,noun,b1
427,rugby-league,Rugby League,noun,c2
428,rugby-union,Rugby Union,noun,c2
429,rugger,rugger,noun,c2
430,run_2,run,noun,c2
431,interference,run interference,idiom,c2
432,running-back,running back,noun,c2
433,run-out_2,run-out,noun,c2
434,run-out_1,run out,phrasal verb,c2
435,run-play,run play,noun,c2
436,sack_1,sack,verb,c2
437,safety,safety,noun,c2
438,sand-iron,sand iron,noun,c2
439,sand-trap,sand trap,noun,c2
440,sand-wedge,sand wedge,noun,c2
441,save_1,save,verb,b1
442,save_2,save,noun,b1
443,score_1,score,verb,a2
444,score_2,score,noun,a2
445,scratch_3,scratch,adjective,c2
446,screen-pass,screen pass,noun,c2
447,scrimmage,scrimmage,noun,c2
448,scrum,scrum,noun,c2
449,scrum-half,scrum half,noun,c2
450,second-base,second base,noun,c1
451,seed_1,seed,noun,c2
452,seed_2,seed,verb,c2
453,seeded,seeded,adjective,c2
454,semi-finalist,semi-finalist,noun,c1
455,sending-off,sending-off,noun,c1
456,send-off_1,send off,phrasal verb,b2
457,series,series,noun,c2
458,serve_1,serve,verb,c2
459,serve_2,serve,noun,c2
460,server,server,noun,c2
461,service_1,service,noun,c2
462,set_2,set,noun,c2
463,set-point,set point,noun,c2
464,set-shot,set shot,noun,c2
465,shaft_1,shaft,noun,c2
466,shoot_1,shoot,verb,b2
467,shootaround,shootaround,noun,c2
468,shooting-guard,shooting guard,noun,c2
469,shortstop,shortstop,noun,c2
470,shot_1,shot,noun,b2
471,shotmaking,shotmaking,noun,c2
472,shoulder-pad,shoulder pad,noun,c1
473,shuttlecock,shuttlecock,noun,c2
474,side_1,side,noun,a2
475,sideline_1,sideline,noun,c2
476,single_2,single,noun,c1
477,six,six,noun,c2
478,slam_2,slam,noun,c2
479,slam-dunk_1,slam dunk,noun,c2
480,slam-dunk_2,slam-dunk,verb,c2
481,sledging,sledging,noun,c2
482,slice_1,slice,noun,c2
483,smash_2,smash,noun,c2
484,snap_1,snap,verb,c2
485,soccer,soccer,noun,a2
486,softball,softball,noun,c2
487,spin_2,spin,noun,c1
488,spinner,spinner,noun,c2
489,sport_1,sport,noun,a1
490,spot-kick,spot kick,noun,c2
491,spring-training,spring training,noun,b2
492,squash_2,squash,noun,b2
493,stadium,stadium,noun,b1
