subLink,word,type,level
184,sunscreen,sunscreen,noun,b2
185,suntan_2,suntan,noun,c1
186,tan_1,tan,verb,c1
187,tan_2,tan,noun,c1
188,tariff,tariff,noun,c1
189,tent,tent,noun,b1
190,tent-peg,tent peg,noun,c1
191,theme-park,theme park,noun,b1
192,timeshare,timeshare,noun,c2
193,tour_1,tour,noun,a2
194,tour_2,tour,verb,b1
195,tourism,tourism,noun,a2
196,tourist,tourist,noun,a1
197,tourist-class,tourist class,noun,c1
198,tourist-trap,tourist trap,noun,c2
199,touristy,touristy,adjective,c1
200,travel-agency,travel agency,noun,b2
201,travel-agent,travel agent,noun,b2
202,traveller,traveller,noun,a2
203,traveller-s-cheque,traveller’s cheque,noun,c1
204,trek_2,trek,verb,b2
205,trip_1,trip,noun,a1
206,twin_1,twin,noun,a2
207,twin-bedroom,twin bedroom,noun,c1
208,unpack,unpack,verb,b1
209,upgrade_1,upgrade,verb,c1
210,upmarket_1,upmarket,adverb,c1
211,upmarket_2,upmarket,adjective,c1
212,vacancy,vacancy,noun,c1
213,vacation_1,vacation,noun,a1
214,vacationer,vacationer,noun,c2
215,valet_1,valet,noun,c2
216,villa,villa,noun,b2
217,visa,visa,noun,b2
218,visitor,visitor,noun,a1
219,visitors-book,visitors’ book,noun,b2
220,voyage_1,voyage,noun,b2
221,wake-up-call,wake-up call,noun,b2
222,walking_1,walking,noun,a2
223,youth-hostel,youth hostel,noun,b1
224,aboard,aboard,adverb,c1
225,aerial_2,aerial,adjective,c1
226,aerodrome,aerodrome,noun,c2
227,aerodynamic,aerodynamic,adjective,c2
228,aerodynamics,aerodynamics,noun,c2
229,aeronaut,aeronaut,noun,c2
230,aeronautical,aeronautical,adjective,c2
231,aeronautics,aeronautics,noun,c2
232,aerospace,aerospace,noun,c1
233,aft,aft,adverb,c2
234,aileron,aileron,noun,c2
235,airbase,airbase,noun,c2
236,airborne,airborne,adjective,c2
237,air-bridge,air bridge,noun,c2
238,airbustm,Airbus™,noun,c2
239,air-corridor,air corridor,noun,c2
240,aircraft,aircraft,noun,b2
241,aircrew,aircrew,noun,c2
242,airdrome,airdrome,noun,c2
243,airfare,airfare,noun,b1
244,airfield,airfield,noun,c1
245,air-hostess,air hostess,noun,c1
246,air-lane,air lane,noun,c2
247,airline,airline,noun,a2
248,airliner,airliner,noun,c2
249,air-marshal,air marshal,noun,c2
250,air-milestm,Air Miles™,noun,c2
251,airplane,airplane,noun,a1
252,air-pocket,air pocket,noun,c2
253,airport,airport,noun,a1
254,airship,airship,noun,c2
255,airsick,airsick,adjective,b1
256,airsickness,airsickness,noun,b1
257,airspace,airspace,noun,c1
258,airspeed,airspeed,noun,b2
259,airstrip,airstrip,noun,c2
260,air-terminal,air terminal,noun,b2
261,air-traffic-control,air traffic control,noun,c1
262,air-traffic-controller,air traffic controller,noun,c1
263,airworthiness,airworthiness,noun,c2
264,airworthy,airworthy,adjective,c2
265,aisle,aisle,noun,b2
266,altimeter,altimeter,noun,c2
267,announcer,announcer,noun,b2
268,approach_1,approach,noun,b2
269,apron,apron,noun,c2
270,arrival,arrival,noun,b1
271,automatic-pilot,automatic pilot,noun,c1
272,autopilot,autopilot,noun,c1
273,aviation,aviation,noun,c1
274,aviator,aviator,noun,c2
275,baggage,baggage,noun,a2
276,baggage-carousel,baggage carousel,noun,c2
277,baggage-reclaim,baggage reclaim,noun,b2
278,bail-out,bail out,phrasal verb,c2
279,balloon_1,balloon,noun,b2
280,beacon,beacon,noun,c2
281,biplane,biplane,noun,c2
282,bird-strike,bird strike,noun,c2
283,black-box,black box,noun,c2
284,blade,blade,noun,c1
285,board_2,board,verb,b1
286,boarding-card,boarding card,noun,b2
287,bomber,bomber,noun,b2
