subLink,word,type,level
186,responsible,responsible,adjective,b2
187,result_1,result,noun,a1
188,result_2,result,verb,b1
189,ripple-effect,ripple effect,noun,c2
190,rise_1,rise,verb,a2
191,rise_2,rise,noun,b1
192,rocket_2,rocket,verb,c1
193,root_1,root,noun,b2
194,secondary,secondary,adjective,b2
195,serve_1,serve,verb,c2
196,set-off,set off,phrasal verb,c2
197,shoot-up,shoot up,phrasal verb,c1
198,side-effect,side effect,noun,c1
199,significant,significant,adjective,b2
200,significantly,significantly,adverb,b2
201,sink_1,sink,verb,c1
202,spawn_1,spawn,verb,c2
203,spike_1,spike,noun,c2
204,spike_2,spike,verb,c2
205,spiral_1,spiral,noun,c1
206,spiral_3,spiral,verb,c1
207,spiral-down,spiral down,phrasal verb,c2
208,spiral-downward,spiral downward,phrasal verb,c2
209,spiral-downwards,spiral downwards,phrasal verb,c2
210,the-upshot,the upshot,noun,c2
211,stem-from,stem from,phrasal verb,c1
212,surge_1,surge,noun,c1
213,surge_2,surge,verb,c1
214,effect_1,take effect,idiom,c2
215,thereby,thereby,adverb,c1
216,therefore,therefore,adverb,b1
217,therein,therein lies…,idiom,c2
218,thereupon,thereupon,adverb,c2
219,thus,thus,adverb,b2
220,trend_1,trend,noun,b1
221,trigger_1,trigger,verb,b2
222,trigger_2,trigger,noun,c1
223,underlie,underlie,verb,c1
224,upsurge,upsurge,noun,c2
225,upswing,upswing,noun,c2
226,upturn,upturn,noun,c2
227,upward,upward,adjective,c1
228,upwards,upwards,adverb,b2
229,whereby,whereby,adverb,c1
230,whereupon,whereupon,conjunction,c2
231,cause_3,’cause,conjunction,c1
232,acutely,acutely,adverb,c1
233,adventure,adventure,noun,a2
234,adventurous,adventurous,adjective,b2
235,afraid,afraid,adjective,a1
236,alarm_1,alarm,noun,b1
237,alarmed,alarmed,adjective,b2
238,leap_2,a leap in the dark,idiom,c2
239,alert_1,alert,verb,c1
240,alert_2,alert,noun,c1
241,alert_3,alert,adjective,c1
242,marked,a marked man/woman,idiom,c2
243,wait_1,an accident/a disaster waiting to happen,idiom,c2
244,antics,antics,noun,c2
245,at-risk,at-risk,adjective,b2
246,risk_1,at risk,idiom,b1
247,avert,avert,verb,c1
248,lookout,be on the lookout (for somebody/something),idiom,c2
249,razor,be on the razor’s edge,idiom,c2
250,watch_2,be on the watch (for somebody/something),idiom,c2
251,guard_1,be on your guard,idiom,c2
252,beware,beware,verb,c1
253,boil-over,boil over,phrasal verb,c2
254,boil-up,boil up,phrasal verb,c2
255,breakneck,breakneck,adjective,c2
256,brink,brink,noun,c2
257,cancer_1,cancer,noun,c2
258,canker,canker,noun,c2
259,caper_1,caper,noun,c2
260,caution_1,caution,noun,c1
261,caution_2,caution,verb,c1
262,chance_1,chance,noun,a2
263,close2_1,close,adjective,c2
264,compromise_2,compromise,verb,c1
265,critical,critical,adjective,b2
266,critically,critically,adverb,b2
267,danger,danger,noun,a2
268,dangerous,dangerous,adjective,a1
269,dangerously,dangerously,adverb,b1
270,dare_1,dare,verb,c1
271,dare_2,dare,noun,c1
272,daredevil_1,daredevil,noun,c2
273,daredevil_2,daredevil,adjective,c2
274,daring_1,daring,adjective,b2
275,daringly,daringly,adverb,b2
276,deadly_1,deadly,adjective,b2
277,death-trap,death trap,noun,c2
278,desperate,desperate,adjective,b2
279,dice_2,dice with death,idiom,c2
280,dicey,dicey,adjective,c2
281,discretion,discretion is the better part of valour,idiom,c2
282,distress_1,distress,noun,c1
283,dodgy,dodgy,adjective,c2
284,peril,do something at your (own) peril,idiom,c2
285,risk_1,do something at your own risk,idiom,c2
286,early-warning,early warning,noun,c1
287,emergency,emergency,noun,b1
288,escapade,escapade,noun,c2
289,escape_1,escape,verb,b1
290,escape_2,escape,noun,b1
291,evacuate,evacuate,verb,c1
292,evacuation,evacuation,noun,c1
293,evacuee,evacuee,noun,c2
294,eventful,eventful,adjective,c1
295,explode,explode,verb,c2
296,flee,flee,verb,c1
297,flight_1,flight,noun,c2
298,flirt-with,flirt with,phrasal verb,c2
299,foghorn,foghorn,noun,c2
