subLink,word,type,level
180,fuzzy,fuzzy,adjective,c2
181,gamine_2,gamine,adjective,c2
182,gangling,gangling,adjective,c2
183,gaunt,gaunt,adjective,c2
184,gel_1,gel,noun,b2
185,gel_2,gel,verb,c2
186,ginger_2,ginger,adjective,b2
187,girn,girn,verb,c2
188,glamorous,glamorous,adjective,b2
189,glazed,glazed,adjective,c2
190,glossy_1,glossy,adjective,c2
191,glower_2,glower,verb,c2
192,goatee,goatee,noun,c2
193,good-looking,good-looking,adjective,a2
194,gorgeous,gorgeous,adjective,b2
195,grace_1,grace,noun,c1
196,graceful,graceful,adjective,c1
197,graceless,graceless,adjective,c2
198,gray_1,gray,adjective,a1
199,greasy,greasy,adjective,c1
200,grey_1,grey,adjective,a1
201,grey-haired,grey-haired,adjective,b1
202,grimace_1,grimace,verb,c2
203,grimace_2,grimace,noun,c2
204,grin_1,grin,verb,c1
205,grin_2,grin,noun,c1
206,grizzled,grizzled,adjective,c2
207,grooming,grooming,noun,c2
208,grotesque_1,grotesque,adjective,c2
209,grow-back,grow back,phrasal verb,c2
210,grow-out,grow out,phrasal verb,c2
211,gurn,gurn,verb,c2
212,hair_1,hair,noun,a1
213,hairbrush,hairbrush,noun,a2
214,haircut,haircut,noun,b1
215,hairdo,hairdo,noun,c2
216,hairdresser,hairdresser,noun,a2
217,hairdryer,hairdryer,noun,b1
218,hair-extension,hair extension,noun,c2
219,hairless,hairless,adjective,c2
220,hairline,hairline,noun,c2
221,hairpiece,hairpiece,noun,c2
222,hairspray,hairspray,noun,c2
223,hairstyle,hairstyle,noun,b1
224,hairstylist,hairstylist,noun,c2
225,hairy,hairy,adjective,b2
226,hand-cream,hand cream,noun,b2
227,handsome,handsome,adjective,a2
228,hangdog,hangdog,adjective,c2
229,heart-throb,heart-throb,noun,c2
230,heavy_1,heavy,adjective,a2
231,height,height,noun,a2
232,henna,henna,noun,c2
233,hideous,hideous,adjective,c1
234,highlight_1,highlight,verb,c1
235,highlight_2,highlight,noun,c1
236,hirsute,hirsute,adjective,c2
237,hoary,hoary,adjective,c2
238,homely,homely,adjective,c2
239,hunch_1,hunch,verb,c2
240,hydrogen-peroxide,hydrogen peroxide,noun,c2
241,knockout_1,knockout,noun,c2
242,knot_1,knot,noun,c2
243,knot_2,knot,verb,c2
244,lacquer_1,lacquer,noun,c2
245,lacquer_2,lacquer,verb,c2
246,languid,languid,adjective,c2
247,languidly,languidly,adverb,c2
248,lank,lank,adjective,c2
249,lanky,lanky,adjective,c2
250,layer_2,layer,verb,c2
251,lean_2,lean,adjective,c2
252,leer_1,leer,verb,c2
253,leer_2,leer,noun,c2
254,light-footed,light-footed,adjective,c2
255,liner,liner,noun,c2
256,lip-balm,lip balm,noun,c2
257,lip-gloss,lip gloss,noun,c2
258,lip-liner,lip liner,noun,c2
259,lipstick,lipstick,noun,b2
260,lissom,lissom,adjective,c2
261,lithe,lithe,adjective,c2
262,lithely,lithely,adverb,c2
263,liver-spot,liver spot,noun,c2
264,lock_2,lock,noun,c2
265,long_1,long,adjective,a1
266,looker,looker,noun,c2
267,loose-limbed,loose-limbed,adjective,c2
268,love-handles,love handles,noun,c2
269,lovely_1,lovely,adjective,a2
270,lowlights,lowlights,noun,c2
271,lumbering,lumbering,adjective,c2
272,luxuriant,luxuriant,adjective,c2
273,makeover,makeover,noun,b2
274,make-up_2,make-up,noun,b2
275,mascara,mascara,noun,c2
276,mask_1,mask,noun,c2
277,matted,matted,adjective,c2
278,mesomorph,mesomorph,noun,c2
279,mohican,Mohican,noun,c2
280,moisturizer,moisturizer,noun,c2
281,mole,mole,noun,c2
282,mop_1,mop,noun,c2
283,mousey,mousey,adjective,c2
284,mousse,mousse,noun,c2
285,moustache,moustache,noun,b1
286,mousy,mousy,adjective,c2
287,mouthwash,mouthwash,noun,c2
288,mullet,mullet,noun,c2
289,muscular,muscular,adjective,c1
290,nail-clippers,nail clippers,noun,c2
291,nail-polish,nail polish,noun,c2
292,nail-scissors,nail scissors,noun,c2
293,nice-looking,nice-looking,adjective,c1
294,nimble,nimble,adjective,c2
295,obese,obese,adjective,b2
296,obesity,obesity,noun,b2
297,oil_1,oil,noun,a2
298,overweight,overweight,adjective,b2
299,pale_1,pale,adjective,b1
300,part_2,part,verb,c2
301,parting_1,parting,noun,c2
302,pate_1,pate,noun,c2
303,pepper-and-salt,pepper-and-salt,adjective,c2
304,perm_1,perm,noun,c2
305,perm_2,perm,verb,c2
306,permatan,permatan,noun,c2
307,peroxide,peroxide,noun,c2
308,petite,petite,adjective,c2
309,photogenic,photogenic,adjective,c2
310,pigtail,pigtail,noun,c2
311,pimple,pimple,noun,c2
312,pimply,pimply,adjective,c2
313,plain_1,plain,adjective,b2
314,plait_1,plait,noun,c2
315,plait_2,plait,verb,c2
316,platinum-blonde_1,platinum blonde,adjective,c2
317,plump_1,plump,adjective,c2
318,podgy,podgy,adjective,c2
319,pomade,pomade,noun,c2
320,ponytail,ponytail,noun,c2
321,pore_1,pore,noun,c2
322,portly,portly,adjective,c2
323,port-wine-stain,port wine stain,noun,c2
324,posture_1,posture,noun,c1
325,pot-bellied,pot-bellied,adjective,c2
326,powder-puff,powder puff,noun,c2
327,pretty_2,pretty,adjective,a1
328,primp,primp,verb,c2
329,product,product,noun,c1
330,face_1,pull/make faces/a face (at somebody),idiom,c2
331,pumice,pumice,noun,c2
332,punky,punky,adjective,c2
333,quiff,quiff,noun,c2
334,rangy,rangy,adjective,c2
335,raven_2,raven,adjective,c2
336,ravishing,ravishing,adjective,c2
337,razor,razor,noun,b2
338,recede,recede,verb,c2
339,red_1,red,adjective,a1
340,redhead,redhead,noun,c2
341,red-headed,red-headed,adjective,c2
342,ringlet,ringlet,noun,c2
343,rinse_2,rinse,noun,c2
344,roller,roller,noun,c2
345,roly-poly_2,roly-poly,adjective,c2
346,rosy,rosy,adjective,c2
347,rotund,rotund,adjective,c2
348,rotundity,rotundity,noun,c2
349,round-shouldered,round-shouldered,adjective,c2
350,rugged,rugged,adjective,c2
351,salon,salon,noun,b2
352,salt-and-pepper,salt-and-pepper,adjective,c2
353,sandy_1,sandy,adjective,c2
354,scissors,scissors,noun,b1
355,scowl_1,scowl,verb,c2
356,scowl_2,scowl,noun,c2
357,scrawny,scrawny,adjective,c2
358,scruffy,scruffy,adjective,c1
359,scrunch_2,scrunch,verb,c2
360,scrunch-dry,scrunch-dry,verb,c2
361,set_1,set,verb,c2
362,sex-appeal,sex appeal,noun,c2
363,sex-symbol,sex symbol,noun,c2
364,sexy,sexy,adjective,b2
365,shaggy,shaggy,adjective,c2
366,shampoo_1,shampoo,noun,b1
367,shampoo_2,shampoo,verb,b1
368,shapely,shapely,adjective,c2
369,shave_1,shave,verb,b1
370,shaven,shaven,adjective,c2
371,shaver,shaver,noun,b1
372,shear,shear,verb,c2
373,shiny,shiny,adjective,b1
374,shock_1,shock,noun,c2
375,shock-headed,shock-headed,adjective,c2
376,short_1,short,adjective,a1
377,shoulder-length,shoulder-length,adjective,c1
378,sideburn,sideburn,noun,c2
379,side-whiskers,side whiskers,noun,c2
380,silky_2,silky,adjective,c2
381,sinewy,sinewy,adjective,c2
382,bolt_3,sit/stand bolt upright,idiom,c2
383,skin_1,skin,noun,a2
384,skinhead,skinhead,noun,c2
385,skinny_1,skinny,adjective,b2
386,slaphead,slaphead,noun,c2
387,sleek_1,sleek,adjective,c2
388,slender,slender,adjective,c1
389,slick_3,slick,verb,c2
390,slight_1,slight,adjective,c2
391,slim_1,slim,adjective,a2
392,slouch_1,slouch,verb,c2
393,slouchy,slouchy,adjective,c2
394,slumped,slumped,adjective,c2
395,smile_1,smile,verb,a2
396,smile_2,smile,noun,a2
397,smirk_1,smirk,verb,c2
398,smirk_2,smirk,noun,c2
399,smize_1,smize,verb,c2
400,smize_2,smize,noun,c2
401,sneer_1,sneer,verb,c2
402,sneer_2,sneer,noun,c2
403,soap_1,soap,noun,a2
404,face_1,somebody’s face is like thunder,idiom,c2
405,sour-faced,sour-faced,adjective,c2
406,southern-belle,southern belle,noun,c2
407,spare-tyre,spare tyre,noun,c2
408,spiky,spiky,adjective,c2
409,split-end,split end,noun,c2
410,spot_1,spot,noun,b1
411,squat_3,squat,adjective,c2
412,squint_1,squint,verb,c2
413,statuesque,statuesque,adjective,c2
414,stockily,stockily,adverb,c2
415,stocky,stocky,adjective,c2
416,stoop_1,stoop,verb,c2
417,stooped,stooped,adjective,c2
418,stout_1,stout,adjective,c2
419,straight_2,straight,adjective,a2
420,strand_1,strand,noun,c1
421,strawberry-blonde,strawberry blonde,adjective,c2
422,streak_1,streak,noun,c1
423,striking,striking,adjective,c1
424,stringy,stringy,adjective,c2
425,stubble,stubble,noun,c2
426,stunner,stunner,noun,c2
427,stunning,stunning,adjective,b2
428,styling,styling,noun,c1
429,stylist,stylist,noun,c1
430,sullen,sullen,adjective,c2
431,sunburned,sunburned,adjective,b2
432,suntan_2,suntan,noun,c1
433,suntanned,suntanned,adjective,c1
434,supple,supple,adjective,c2
435,svelte,svelte,adjective,c2
436,swarthy,swarthy,adjective,c2
437,sweep_1,sweep,verb,c2
438,swept-back,swept-back,adjective,c2
439,sylph,sylph,noun,c2
440,talcum-powder,talcum powder,noun,c2
441,tall,tall,adjective,a1
442,tan_1,tan,verb,c1
443,tan_2,tan,noun,c1
444,tangle_1,tangle,noun,c2
445,tanned,tanned,adjective,c1
446,tattoo_1,tattoo,noun,b2
447,tease_1,tease,verb,c2
448,tendril,tendril,noun,c2
449,thatch_1,thatch,noun,c2
450,thick_1,thick,adjective,b1
451,thin_1,thin,adjective,a2
452,top_1,thin/bald on top,idiom,c2
453,tint_1,tint,noun,c2
454,tint_2,tint,verb,c2
455,tone_1,tone,noun,c2
456,toner,toner,noun,c2
457,tongs,tongs,noun,c2
458,tonic,tonic,noun,c2
459,toothpaste,toothpaste,noun,b1
460,topknot,topknot,noun,c2
461,toupee,toupee,noun,c2
462,tousle,tousle,verb,c2
463,tousled,tousled,adjective,c2
464,tresses,tresses,noun,c2
465,trim_1,trim,verb,c2
466,tubby,tubby,adjective,c2
467,tuft,tuft,noun,c2
468,tweezers,tweezers,noun,c2
469,ugly,ugly,adjective,b1
470,unattractive,unattractive,adjective,b1
471,uncombed,uncombed,adjective,c2
472,uncoordinated,uncoordinated,adjective,c2
473,undercut_2,undercut,noun,c2
474,underweight,underweight,adjective,b2
475,ungainly,ungainly,adjective,c2
476,unkempt,unkempt,adjective,c2
477,unlovely,unlovely,adjective,c2
478,untangle,untangle,verb,c2
479,upright_1,upright,adjective,c1
480,volumize,volumize,verb,c2
481,voluptuous,voluptuous,adjective,c2
482,wave_1,wave,noun,c1
483,wave_2,wave,verb,c1
484,wavy,wavy,adjective,a2
485,wear_1,wear,verb,c1
486,weight_1,weight,noun,a2
487,well-dressed,well dressed,adjective,b1
488,wet-look_1,wet look,noun,c2
489,wet-look_2,wet-look,adjective,c2
490,wig_1,wig,noun,c1
491,wince_1,wince,noun,c2
492,wince_2,wince,verb,c2
493,wind-blown,wind-blown,adjective,c2
494,wink_1,wink,verb,c2
495,wink_2,wink,noun,c2
496,winning,winning,adjective,c2
497,wiry,wiry,adjective,c2
498,wisp,wisp,noun,c2
499,wrinkle_1,wrinkle,noun,c1
500,abdomen,abdomen,noun,c2
501,abductor,abductor,noun,c2
502,achilles-tendon,Achilles tendon,noun,c2
503,adam-s-apple,Adam’s apple,noun,c2
504,adductor,adductor,noun,c2
505,adenoids,adenoids,noun,c2
506,adrenaline,adrenaline,noun,c1
507,anatomy,anatomy,noun,c2
508,ankle,ankle,noun,a2
509,antibody,antibody,noun,c2
510,anus,anus,noun,c2
511,anvil,anvil,noun,c2
512,aorta,aorta,noun,c2
513,appendix,appendix,noun,c2
514,aquiline,aquiline,adjective,c2
515,arch_1,arch,noun,c2
516,arm_1,arm,noun,a1
517,armpit,armpit,noun,c2
518,artery,artery,noun,c1
519,auricle,auricle,noun,c2
520,baby-tooth,baby tooth,noun,c1
521,back_1,back,noun,a1
522,backbone,backbone,noun,b1
523,backside,backside,noun,c2
524,ball_1,ball,noun,c2
525,beady,beady,adjective,c2
526,belly_1,belly,noun,c1
527,belly-button,belly button,noun,c2
528,biceps,biceps,noun,c2
529,big-toe,big toe,noun,b2
530,bile,bile,noun,c2
531,bile-duct,bile duct,noun,c2
532,bladder,bladder,noun,c2
533,bleary,bleary,adjective,c2
534,blood_1,blood,noun,a2
535,bloodshot,bloodshot,adjective,c2
536,bloodstream,bloodstream,noun,c2
537,blood-vessel,blood vessel,noun,c1
538,body,body,noun,a1
539,bone_1,bone,noun,a2
540,bone-marrow,bone marrow,noun,c2
541,bosom,bosom,noun,c2
542,bottom_1,bottom,noun,b1
543,bowel,bowel,noun,c2
544,brace_1,brace,noun,c2
545,brain_1,brain,noun,a2
546,breast_1,breast,noun,b2
547,breastbone,breastbone,noun,c2
548,breath,breath,noun,b1
549,breathe,breathe,verb,b1
550,breathing,breathing,noun,b1
551,bridge_1,bridge,noun,c2
552,brow,brow,noun,c2
553,bum_1,bum,noun,c1
554,bust_2,bust,noun,c2
555,buttock,buttock,noun,c2
556,calf,calf,noun,c1
557,canal,canal,noun,c2
558,canine_2,canine,noun,c2
559,cap_2,cap,verb,c2
560,capillary,capillary,noun,c2
