subLink,word,type,level
185,gallop_2,gallop,noun,c1
186,game_1,game,noun,c2
187,garter-snake,garter snake,noun,c2
188,gecko,gecko,noun,c2
189,gelding,gelding,noun,c2
190,genet,genet,noun,c2
191,genus,genus,noun,c1
192,gerbil,gerbil,noun,c2
193,german-shepherd,German shepherd,noun,c2
194,giant-panda,giant panda,noun,c1
195,gibbon,gibbon,noun,c2
196,giraffe,giraffe,noun,b2
197,goat_1,goat,noun,b1
198,golden-retriever,golden retriever,noun,c2
199,gopher,gopher,noun,c2
200,gorilla,gorilla,noun,c1
201,grass-snake,grass snake,noun,c2
202,graze_1,graze,verb,c2
203,great-dane,Great Dane,noun,c2
204,greyhound,greyhound,noun,c2
205,groundhog,groundhog,noun,c2
206,growl_1,growl,verb,c1
207,growl_2,growl,noun,c1
208,grunt_1,grunt,verb,c2
209,grunt_2,grunt,noun,c2
210,guard-dog,guard dog,noun,b2
211,guernsey,Guernsey,noun,c2
212,guide-dog,guide dog,noun,b1
213,guinea-pig,guinea pig,noun,b1
214,gun-dog,gun dog,noun,c1
215,habitat_1,habitat,noun,b2
216,hackles,hackles,noun,c2
217,hamster,hamster,noun,b1
218,hare_1,hare,noun,c1
219,harem,harem,noun,c2
220,hart,hart,noun,c2
221,hearing-dog,hearing dog,noun,b2
222,hedgehog,hedgehog,noun,c2
223,heifer,heifer,noun,c2
224,herd_1,herd,noun,c1
225,hibernate,hibernate,verb,c2
226,hide_2,hide,noun,a2
227,highland-cattle,Highland cattle,noun,c2
228,hind_1,hind,adjective,c2
229,hind_2,hind,noun,c2
230,hindlimb,hindlimb,noun,c2
231,hindquarters,hindquarters,noun,c2
232,hippo,hippo,noun,c1
233,hippopotamus,hippopotamus,noun,c1
234,hock_1,hock,noun,c2
235,hog_1,hog,noun,c2
236,hognose-snake,hognose snake,noun,c2
237,holstein,Holstein,noun,c2
238,hoof_1,hoof,noun,c1
239,horn_1,horn,noun,c1
240,horse_1,horse,noun,a1
241,hound_1,hound,noun,c2
242,hound-dog,hound dog,noun,c2
243,house-broken,house-broken,adjective,c2
244,house-trained,house-trained,adjective,c2
245,hump_1,hump,noun,c2
246,humpback,humpback,noun,c2
247,humpback-whale,humpback whale,noun,c2
248,hunter_1,hunter,noun,c2
249,husky_2,husky,noun,c2
250,hutch,hutch,noun,c2
251,hyaena,hyaena,noun,c2
252,hyena,hyena,noun,c2
253,hyrax,hyrax,noun,c2
254,ibex,ibex,noun,c2
255,iguana,iguana,noun,c2
256,indigenous,indigenous,adjective,c1
257,jackal,jackal,noun,c2
258,jackrabbit,jackrabbit,noun,c2
259,jaguar,jaguar,noun,c1
260,jaw_1,jaw,noun,c1
261,jersey,jersey,noun,c2
262,kangaroo,kangaroo,noun,b2
263,kennel,kennel,noun,c2
264,kid_1,kid,noun,c2
265,kinkajou,kinkajou,noun,c2
266,kitten,kitten,noun,b2
267,kitty,kitty,noun,c2
268,koala,koala,noun,c2
269,komodo-dragon,Komodo dragon,noun,c2
270,krait,krait,noun,c2
271,labrador,Labrador,noun,c1
272,lair,lair,noun,c2
