word,sound
161,flank,flank__gb_1.mp3
162,fleece,fleece__gb_1.mp3
163,flipper,flipper__gb_1.mp3
164,flock,flock__gb_1.mp3
165,fluff,fluff__gb_1.mp3
166,flying fox,flying_fox_1_gb_1.mp3
167,flying squirrel,flying_squirrel_1_gb_1.mp3
168,foal,foal__gb_1.mp3
169,forefoot,forefoot__gb_1.mp3
170,foreleg,foreleg__gb_1.mp3
171,forelock,forelock__gb_1.mp3
172,forever home,forever_home_1_gb_1.mp3
173,four-legged friend,four_legged_friend_1_gb_1.mp3
174,fox,fox__gb_2.mp3
175,foxhound,foxhound__gb_1.mp3
176,fox terrier,fox_terrier_1_gb_1.mp3
177,Friesian,friesian__gb_1.mp3
178,frog,frog__gb_2.mp3
179,froglet,froglet__gb_1.mp3
180,frogspawn,frogspawn__gb_1.mp3
181,fruit bat,fruit_bat_1_gb_1.mp3
182,fur,fur__gb_1.mp3
183,furry,furry__gb_1.mp3
184,gallop,gallop__gb_2.mp3
185,gallop,gallop__gb_2.mp3
186,game,game__gb_2.mp3
187,garter snake,garter_snake_1_gb_1.mp3
188,gecko,gecko__gb_2.mp3
189,gelding,gelding__gb_3.mp3
190,genet,genet__gb_2.mp3
191,genus,genus__gb_2.mp3
192,gerbil,gerbil__gb_2.mp3
193,German shepherd,german_shepherd_1_gb_1.mp3
194,giant panda,giant_panda_1_gb_1.mp3
195,gibbon,gibbon__gb_2.mp3
196,giraffe,giraffe__gb_1.mp3
197,goat,goat__gb_2.mp3
198,golden retriever,golden_retriever_1_gb_1.mp3
199,gopher,gopher__gb_1.mp3
200,gorilla,gorilla__gb_1.mp3
201,grass snake,grass_snake_1_gb_1.mp3
202,graze,graze__gb_1.mp3
203,Great Dane,great_dane_1_gb_1.mp3
204,greyhound,greyhound__gb_1.mp3
205,groundhog,groundhog__gb_1.mp3
206,growl,growl__gb_1.mp3
207,growl,growl__gb_1.mp3
208,grunt,grunt__gb_1.mp3
209,grunt,grunt__gb_1.mp3
210,guard dog,guard_dog_1_gb_1.mp3
211,Guernsey,guernsey_1_gb_1.mp3
212,guide dog,guide_dog_1_gb_1.mp3
213,guinea pig,guinea_pig_1_gb_1.mp3
214,gun dog,gun_dog_1_gb_1.mp3
215,habitat,habitat__gb_4.mp3
216,hackles,hackles__gb_2.mp3
217,hamster,hamster__gb_1.mp3
218,hare,hare__gb_1.mp3
219,harem,harem__gb_1.mp3
220,hart,hart__gb_1.mp3
221,hearing dog,hearing_dog_1_gb_1.mp3
222,hedgehog,hedgehog__gb_1.mp3
223,heifer,heifer__gb_1.mp3
224,herd,herd__gb_1.mp3
225,hibernate,hibernate__gb_1.mp3
226,hide,hide__gb_1.mp3
227,Highland cattle,highland_cattle_1_gb_1.mp3
228,hind,hind__gb_1.mp3
229,hind,hind__gb_1.mp3
230,hindlimb,hindlimb__gb_1.mp3
231,hindquarters,hindquarters__gb_1.mp3
232,hippo,hippo__gb_1.mp3
233,hippopotamus,hippopotamus__gb_1.mp3
234,hock,hock__gb_1.mp3
235,hog,hog__gb_1.mp3
236,hognose snake,hognose_snake_1_gb_1.mp3
237,Holstein,holstein__gb_1.mp3
238,hoof,hoof__gb_1.mp3
239,horn,horn__gb_1.mp3
240,horse,horse__gb_1.mp3
241,hound,hound__gb_1.mp3
242,hound dog,hound_dog_1_gb_1.mp3
243,house-broken,house_broken_1_gb_1.mp3
244,house-trained,house_trained_1_gb_1.mp3
245,hump,hump__gb_1.mp3
246,humpback,humpback__gb_1.mp3
247,humpback whale,humpback_whale_1_gb_1.mp3
248,hunter,hunter__gb_1.mp3
249,husky,husky__gb_1.mp3
250,hutch,hutch__gb_1.mp3
251,hyaena,hyena__gb_1.mp3
252,hyena,hyena__gb_1.mp3
253,hyrax,hyrax__gb_1.mp3
254,ibex,ibex__gb_1.mp3
255,iguana,iguana__gb_1.mp3
256,indigenous,indigenous__gb_1.mp3
257,jackal,jackal__gb_1.mp3
258,jackrabbit,jackrabbit__gb_1.mp3
259,jaguar,jaguar__gb_1.mp3
260,jaw,jaw__gb_1.mp3
261,jersey,jersey__gb_2.mp3
262,kangaroo,kangaroo__gb_1.mp3
263,kennel,kennel__gb_2.mp3
264,kid,kid__gb_2.mp3
265,kinkajou,kinkajou__gb_2.mp3
266,kitten,kitten__gb_3.mp3
267,kitty,kitty__gb_2.mp3
268,koala,koala__gb_2.mp3
269,Komodo dragon,komodo_dragon_1_gb_1.mp3
270,krait,krait__gb_1.mp3
271,Labrador,labrador__gb_1.mp3
272,lair,lair__gb_1.mp3
273,lamb,lamb__gb_1.mp3
274,lapdog,lapdog__gb_1.mp3
275,leash,leash__gb_1.mp3
276,leatherback,leatherback__gb_1.mp3
277,lemming,lemming__gb_1.mp3
278,lemur,lemur__gb_1.mp3
279,leopard,leopard__gb_1.mp3
280,lion,lion__gb_2.mp3
281,litter,litter__gb_1.mp3
282,lizard,lizard__gb_3.mp3
283,llama,llama__gb_1.mp3
284,lodge,lodge__gb_1.mp3
285,longhair,longhair__gb_1.mp3
286,longhorn,longhorn__gb_1.mp3
287,lop ears,lop_ears_1_gb_1.mp3
288,lurcher,lurcher__gb_1.mp3
289,lynx,lynx__gb_1.mp3
290,mamba,mamba__gb_1.mp3
291,mammal,mammal__gb_1.mp3
292,manatee,manatee__gb_1.mp3
293,mane,mane__gb_1.mp3
294,Manx cat,manx_cat_1_gb_1.mp3
295,mare,mare__gb_1.mp3
296,marmalade cat,marmalade_cat_1_gb_1.mp3
297,marmot,marmot__gb_1.mp3
298,marsupial,marsupial__gb_1.mp3
299,marten,marten__gb_1.mp3
300,mastiff,mastiff__gb_1.mp3
301,mate,mate__gb_1.mp3
302,mate,mate__gb_1.mp3
303,meerkat,meerkat__gb_1.mp3
304,meow,meow__gb_1.mp3
305,miaow,miaow__gb_1.mp3
306,miaow,miaow__gb_1.mp3
307,microchip,microchip__gb_1.mp3
308,mink,mink__gb_1.mp3
309,mob,mob__gb_1.mp3
310,moggie,moggie__gb_1.mp3
311,mole,mole__gb_1.mp3
312,molt,molt__gb_1.mp3
313,mongoose,mongoose__gb_1.mp3
314,mongrel,mongrel__gb_1.mp3
315,monitor,monitor__gb_3.mp3
316,monkey,monkey__gb_2.mp3
317,monotreme,monotreme__gb_1.mp3
318,moo,moo__gb_1.mp3
319,moo,moo__gb_1.mp3
320,moult,moult__gb_1.mp3
321,mountain lion,mountain_lion_1_gb_1.mp3
322,mouse,mouse__gb_3.mp3
323,mouser,mouser__gb_1.mp3
324,mule,mule__gb_1.mp3
325,musk ox,musk_ox_1_gb_1.mp3
326,muskrat,muskrat__gb_1.mp3
327,mustang,mustang__gb_1.mp3
328,mutt,mutt__gb_1.mp3
329,muzzle,muzzle__gb_1.mp3
330,nanny goat,nanny_goat_1_gb_1.mp3
331,natterjack,natterjack__gb_1.mp3
332,neigh,neigh__gb_1.mp3
333,neigh,neigh__gb_1.mp3
334,neuter,neuter__gb_1.mp3
335,newt,newt__gb_1.mp3
336,nuzzle,nuzzle__gb_1.mp3
337,ocelot,ocelot__gb_1.mp3
338,okapi,okapi__gb_1.mp3
339,Old English sheepdog,old_english_sheepdog_1_gb_1.mp3
340,opossum,opossum__gb_1.mp3
341,orangutan,orangutan__gb_6.mp3
342,order,order__gb_1.mp3
343,otter,otter__gb_1.mp3
344,ox,ox__gb_1.mp3
345,pachyderm,pachyderm__gb_1.mp3
346,pack,pack__gb_1.mp3
347,pack animal,pack_animal_1_gb_1.mp3
348,packhorse,packhorse__gb_1.mp3
349,pack rat,pack_rat_1_gb_1.mp3
350,pad,pad__gb_1.mp3
351,palomino,palomino__gb_1.mp3
352,panda,panda__gb_3.mp3
353,pangolin,pangolin__gb_1.mp3
354,panther,panther__gb_1.mp3
355,pastern,pastern__gb_1.mp3
356,paw,paw__gb_2.mp3
357,peccary,peccary__gb_1.mp3
358,pedigree,pedigree__gb_1.mp3
359,Pekinese,pekinese__gb_1.mp3
360,pelt,pelt__gb_1.mp3
361,pet,pet__gb_4.mp3
362,pet sitter,pet_sitter_1_gb_1.mp3
363,phylum,phylum__gb_1.mp3
364,pig,pig__gb_1.mp3
365,piglet,piglet__gb_1.mp3
366,pine marten,pine_marten_1_gb_1.mp3
367,pit viper,pit_viper_1_gb_1.mp3
368,platypus,platypus__gb_1.mp3
369,pod,pod__gb_1.mp3
370,pointer,pointer__gb_1.mp3
371,poisonous,poisonous__gb_1.mp3
372,polar bear,polar_bear_1_gb_1.mp3
373,polecat,polecat__gb_1.mp3
374,police dog,police_dog_1_gb_1.mp3
375,polliwog,polliwog__gb_1.mp3
376,pony,pony__gb_1.mp3
377,poodle,poodle__gb_1.mp3
378,porcupine,porcupine__gb_1.mp3
379,porpoise,porpoise__gb_1.mp3
380,potto,potto__gb_1.mp3
381,pouch,pouch__gb_1.mp3
